ta_id,poa,poi,registration_time,ib_id,region,initial_deposit,swap_free_status,pnl,nb_of_trades,volume,most_traded_symbol
505001,Yes,Yes,"2024-10-01 15:11:00",40405,Europe,860.0,Yes,-5414.0,355,54.1400,ETHUSD
505002,Yes,Yes,"2024-10-10 00:00:00",40402,APAC,184.0,No,-7171.0,1501,71.7100,XAUUSD
505003,Yes,Yes,"2024-10-10 00:00:00",40403,LATIM,4510.0,No,4356.0,2193,43.5600,BTCUSD
505004,Yes,Yes,"2024-10-10 00:00:00",40401,MENA,1900.0,Yes,-5254.0,2118,52.5400,USOIL
505005,Yes,Yes,"2024-10-10 00:00:00",40403,Europe,1586.0,Yes,1358.0,157,13.5800,XAUUSD
505224,Yes,Yes,"2026-02-19 07:40:00",40403,MENA,3089.0,Yes,-3667.0,503,30.0300,ETHUSD
505076,Yes,Yes,"2025-08-30 11:03:00",40403,Europe,2118.0,Yes,-522.0,859,6.8640,XAUUSD
505006,Yes,Yes,"2024-10-10 00:00:00",40405,APAC,2108.0,Yes,-5058.0,391,50.5800,XAUUSD
505007,Yes,Yes,"2024-10-10 00:00:00",40403,MENA,3127.0,Yes,-3305.0,2132,33.0500,USOIL
505008,Yes,Yes,"2024-10-10 00:00:00",40403,Europe,4992.0,Yes,-5295.0,3424,52.9500,XAUUSD
505225,Yes,Yes,"2026-02-19 11:18:00",40401,APAC,4255.0,No,-7249.0,1875,34.3090,BTCUSD
505009,Yes,Yes,"2024-10-10 00:00:00",40405,APAC,579.0,Yes,-4686.0,978,46.8600,BTCUSD
505368,Yes,Yes,"2026-06-02 05:54:00",40405,MENA,4073.0,Yes,-1985.0,2104,113.0100,XAUUSD
505010,Yes,Yes,"2024-10-10 00:00:00",40403,APAC,4432.0,Yes,-1990.0,2110,19.9000,ETHUSD
505077,Yes,Yes,"2025-09-01 07:15:00",40404,LATIM,227.0,Yes,-7616.0,1783,37.7360,BTCUSD
505226,Yes,Yes,"2026-02-24 10:53:00",40403,APAC,3848.0,Yes,-2807.0,999,76.3510,BTCUSD
505227,Yes,Yes,"2026-02-25 06:19:00",40403,Europe,3883.0,Yes,-4591.0,1432,21.8570,XAUUSD
505011,Yes,Yes,"2024-10-10 00:00:00",40405,LATIM,4779.0,No,-4633.0,221,46.3300,BTCUSD
505012,Yes,Yes,"2024-10-10 00:00:00",40401,MENA,947.0,Yes,-3240.0,3058,32.4000,USOIL
505078,Yes,Yes,"2025-09-01 07:17:00",40403,APAC,1584.0,Yes,-1919.0,723,16.5440,USOIL
505079,Yes,Yes,"2025-09-01 07:19:00",40402,Europe,2560.0,No,1663.0,1093,41.6240,XAUUSD
505013,Yes,Yes,"2024-10-10 00:00:00",40403,Europe,4093.0,No,-1368.0,162,13.6800,ETHUSD
505014,Yes,Yes,"2024-10-10 00:00:00",40403,APAC,4152.0,No,-7621.0,3733,76.2100,XAUUSD
