ta_id,poa,poi,registration_time,ib_id,region,initial_deposit,swap_free_status,pnl,nb_of_trades,volume,most_traded_symbol
505001,Yes,Yes,2024.10.01 15:11,40405,Europe,860,Yes,-5414,355,54.14,ETHUSD
505002,Yes,Yes,10/10/2024,40402,APAC,184,No,-7171,1501,71.71,XAUUSD
505003,Yes,Yes,10/10/2024,40403,LATIM,4510,No,4356,2193,43.56,BtcUsd
505004,Yes,Yes,10/10/2024,40401,MENA,1900,Yes,-5254,2118,52.54,USOIL
505005,Yes,Yes,10/10/2024,40403,Europe,1586,Yes,1358,157,13.58,XAUUSD
505006,Yes,Yes,10/10/2024,40405,APAC,2108,Yes,-5058,391,50.58,XAUUSD
505007,Yes,Yes,10/10/2024,40403,MENA,3127,Yes,-3305,2132,33.05,USOIL
505008,Yes,Yes,10/10/2024,40403,Europe,4992,Yes,-5295,3424,52.95,XAUUSD
505009,Yes,Yes,10/10/2024,40405,APAC,579,Yes,-4686,978,46.86,BTCUSD
505010,Yes,Yes,10/10/2024,40403,APAC,4432,Yes,-1990,"2,110",19.9,ETHUSD
505011,Yes,Yes,10/10/2024,40405,LATIM,4779,No,-4633,221,46.33,BTCUSD
505012,Yes,Yes,10/10/2024,40401,MENA,947,Yes,-3240,3058,32.4,USOIL
505013,Yes,Yes,10/10/2024,40403,Europe,4093,No,-1368,162,13.68,ETHUSD
505014,Yes,Yes,10/10/2024,40403,APAC,4152,No,-7621,3733,76.21,XAUUSD
505015,Yes,Yes,10/10/2024,40404,APAC,4016,Yes,-7730,3267,77.3,ETHUSD
505016,Yes,Yes,,40402,Europe,3907,Yes,-7861,1888,78.61,ETHUSD
505017,Yes,Yes,2025.06.06 21:27,40405,MENA,477,Yes,-3541,3672,35.41,XAUUSD
505018,Yes,Yes,,40404,MENA,3994,Yes,-350,1132,3.5,XAUUSD
505019,Yes,Yes,N/A,40402,LATIM,783,No,2631,3685,26.31,XAUUSD
505020,Yes,Yes,6/30/2025,40404,APAC,4414,Yes,-7123,3114,71.23,BTCUSD
505021,Yes,Yes,6/30/2025,40402,APAC,3063,Yes,-7117,2673,71.17,BtcUsd
505022,Yes,Yes,6/30/2025,40401,LATIM,4413,No,-7348,3731,73.48,ETHUSD
505023,Yes,Yes,6/30/2025,40405,LATIM,4231,Yes,-2380,1582,23.8,USOIL
505024,Yes,Yes,6/30/2025,40402,Europe,1563,Yes,-7911,2637,79.11,ETHUSD
505025,Yes,Yes,6/30/2025,40402,Europe,2067,Yes,-2689,800,26.89,USOIL
505026,Yes,Yes,6/30/2025,40403,APAC,1695,No,-4070,1770,40.7,BTCUSD
505027,Yes,Yes,6/30/2025,40403,MENA,4593,No,-1603,2458,43.312,XAUUSD
505028,Yes,Yes,6/30/2025,40403,MENA,4152,No,-663,1165,57.368,USOIL
505029,Yes,Yes,6/30/2025,40403,Europe,1492,Yes,-2797,3573,34.848,USOIL
505030,Yes,Yes,6/30/2025,40403,APAC,3611,No,-5928,3651,42.032,ETHUSD
505031,Yes,Yes,6/30/2025,40404Europe,,3137,No,5310,894,10.864,ETHUSD
505032,Yes,Yes,6/30/2025,40405,LATIM,241,No,-1401,3097,40.464,ETHUSD
505033,Yes,Yes,6/30/2025,40405,Europe,361,Yes,668,3559,26.44,BTCUSD
505034,Yes,Yes,,40401,APAC,185,Yes,2585,2715,42.36,ETHUSD
505035,Yes,Yes,2025.07.11 06:20,40404,Europe,3988,Yes,-4680,833,37.488,XAUUSD
505036,Yes,Yes,,40402,APAC,717,Yes,-1590,1494,15.92,USOIL
505037,Yes,Yes,N/A,40403,APAC,4024,Yes,-1677,3580,37.064,ETHUSD
505038,Yes,Yes,N/A,40405,Europe,1367,Yes,-4029,3118,25.92,ETHUSD
505039,Yes,Yes,,40405,MENA,2711,Yes,-548,2555,10.944,ETHUSD
505040,Yes,Yes,"15 July, 2025",40402,Europe,3922,Yes,-5604,3364,60.968,XAUUSD
505041,Yes,Yes,"15 July, 2025",40402,Europe,1876,No,-6478,613,61.84,USOIL
505042,Yes,Yes,"15 July, 2025",40404,Europe,2603,No,-3980,1872,62.888,XAUUSD
505043,Yes,Yes,"15 July, 2025",40405,Europe,3454,Yes,-2277,1796,28.328,ETHUSD
505044,Yes,Yes,"15 July, 2025",40402,MENA,3000,Yes,537,3646,2.8,ETHUSD
505045,Yes,Yes,"15 July, 2025",40404,APAC,4585,No,-6782,562,21.048,XAUUSD
505046,Yes,Yes,"15 July, 2025",40404,LATIM,4103,Yes,6108,3631,56.984,USOIL
505047,Yes,Yes,"15 July, 2025",40401,LATIM,2554,No,-1610,2915,56.936,ETHUSD
505048,Yes,Yes,"15 July, 2025",40405,APAC,1434,Yes,-1804,105,58.784,XAUUSD
505049,Yes,Yes,,40404,MENA,2258,Yes,-241,927,19.04,BtcUsd
505050,No,No,2025.08.07 15:01,40403,LATIM,596,N/A,0,0,0,
505050,Yes,Yes,2025.08.07 15:13,40403,LATIM,596,Yes,-858,3503,63.288,ETHUSD
505051,Yes,Yes,2025.08.09 16:22,40402,APAC,3775,Yes,-4717,3817,21.512,ETHUSD
505052,Yes,Yes,2025.08.12 05:15,40403,MENA,4031,Yes,2068,495,32.56,BTCUSD
505053,Yes,Yes,2025.08.15 11:29,40404,APAC,3069,No,-5203,2896,12.824,BTCUSD
505054,Yes,Yes,2025.08.19 17:11,40402,MENA,4817,Yes,-6720,1337,5.304,XAUUSD
505055,Yes,Yes,2025.08.20 11:27,40405,Europe,3115,Yes,5278,3697,22.376,BTCUSD
505056,Yes,Yes,2025.08.24 21:40,40405,LATIM,556,Yes,-3156,1781,47.424,USOIL
505057,Yes,Yes,2025.08.25 22:13,40402,Europe,1658,Yes,-2214,3762,42.48,BTCUSD
505058,Yes,Yes,2025.08.27 14:39,40405,Europe,2950,Yes,725,215,11.208,XAUUSD
505059,Yes,Yes,2025.08.27 17:55,40404,Europe,216,No,-2883,699,5.344,XAUUSD
505060,Yes,Yes,2025.08.28 06:21,40401,MENA,631,Yes,-2510,1120,20.68,XAUUSD
505061,Yes,Yes,2025.08.28 07:16,40402,Europe,4850,Yes,-7955,3006,37.44,USOIL
505062,Yes,Yes,2025.08.28 07:21,40401,APAC,4959,No,-6764,1733,12.72,ETHUSD
505063,Yes,Yes,2025.08.28 08:46,40405,Europe,2114,Yes,-202,333,13.416,USOIL
505064,Yes,Yes,2025.08.28 08:48,40403,APAC,755,Yes,-5604,2989,32.232,ETHUSD
505065,Yes,Yes,2025.08.28 08:52,40402,Europe,2692,Yes,661,3745,4.384,XAUUSD
505066,Yes,Yes,2025.08.28 09:03,40405APAC,,4622,No,-4572,2199,44.832,BtcUsd
505067,Yes,Yes,2025.08.28 09:13,40405,LATIM,953,No,-2529,2364,51.824,USOIL
505068,Yes,Yes,2025.08.28 09:16,40405,LATIM,193,Yes,-3896,3206,31.84,XAUUSD
505069,Yes,Yes,2025.08.28 09:17,40405,LATIM,4274,Yes,7417,2695,18.216,BTCUSD
505070,Yes,Yes,2025.08.28 09:25,40405,Europe,3064,No,-1510,1711,4.296,XAUUSD
505071,Yes,Yes,2025.08.28 09:28,40401,LATIM,358,Yes,-4906,1572,54.256,XAUUSD
505072,Yes,Yes,2025.08.28 09:33,40404,APAC,2267,Yes,-2244,896,48.864,XAUUSD
505073,Yes,Yes,2025.08.28 09:34,40404,APAC,2788,Yes,-4855,405,12.88,XAUUSD
505074,Yes,Yes,2025.08.28 11:00,40405,Europe,4743,Yes,-4179,3467,14.432,XAUUSD
505075,Yes,Yes,2025.08.28 12:01,40402,MENA,2457,Yes,-6519,535,1.928,BTCUSD
505076,Yes,Yes,2025.08.30 11:03,40403,Europe,2118,Yes,-522,859,6.864,XAUUSD
505077,Yes,Yes,2025.09.01 07:15,40404,LATIM,227,Yes,-7616,1783,37.736,BtcUsd
